date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:00	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2017:55:58%20GMT	http://206.168.212.55:27016/robots.txt		(from )
19:56:00	2422/2422	---MCZ	200	added ('OK')	text/html	etag:W/%2267f2ece7-976%22	http://206.168.212.55:27016/admin_1Dup4fHykv/	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/admin_1Dup4fHykv/index.html	(from )
19:56:00	1269/1269	---M--	200	added ('OK')	application/javascript	etag:%22677d9a33-4f5%22	http://206.168.212.55:27016/sw.js	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/sw.js	(from http://206.168.212.55:27016/admin_1Dup4fHykv/)
19:56:01	16821/16821	---M--	200	added ('OK')	text/css	etag:%22677dbbba-41b5%22	http://206.168.212.55:27016/dowod_files/main.css	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/dowod_files/main.css	(from http://206.168.212.55:27016/admin_1Dup4fHykv/)
19:56:01	1414/1414	---M--	200	added ('OK')	text/css	etag:%22677dbb8c-586%22	http://206.168.212.55:27016/css/login.css	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/css/login.css	(from http://206.168.212.55:27016/admin_1Dup4fHykv/)
19:56:01	7885/7885	---MCZ	200	added ('OK')	text/html	etag:W/%2267f2ece7-1ecd%22	http://206.168.212.55:27016/admin_1Dup4fHykv/dashboard.html	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/admin_1Dup4fHykv/dashboard.html	(from http://206.168.212.55:27016/admin_1Dup4fHykv/)
19:56:01	8504/8504	---M--	200	added ('OK')	image/png	etag:%22677dbbb7-2138%22	http://206.168.212.55:27016/dowod_files/coi.png	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/dowod_files/coi.png	(from http://206.168.212.55:27016/admin_1Dup4fHykv/)
19:56:01	7381/7381	---M--	200	added ('OK')	text/css	etag:%22677dbb8c-1cd5%22	http://206.168.212.55:27016/css/dashboard.css	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/css/dashboard.css	(from http://206.168.212.55:27016/admin_1Dup4fHykv/dashboard.html)
19:56:01	704/704	---M--	200	added ('OK')	application/javascript	etag:%22677dbbb7-2c0%22	http://206.168.212.55:27016/dowod_files/scale.js	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/dowod_files/scale.js	(from http://206.168.212.55:27016/admin_1Dup4fHykv/dashboard.html)
19:56:02	11746/11746	---MCZ	200	added ('OK')	text/html	etag:W/%2267f2ece7-2de2%22	http://206.168.212.55:27016/admin_1Dup4fHykv/dowodnowy.html	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/admin_1Dup4fHykv/dowodnowy.html	(from http://206.168.212.55:27016/admin_1Dup4fHykv/dashboard.html)
19:56:02	6663/6663	---M--	200	added ('OK')	text/css	etag:%22677dbb8c-1a07%22	http://206.168.212.55:27016/css/dowodnowy.css	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/css/dowodnowy.css	(from http://206.168.212.55:27016/admin_1Dup4fHykv/dowodnowy.html)
19:56:03	654/654	---M--	200	added ('OK')	application/javascript	etag:%22677dbbb7-28e%22	http://206.168.212.55:27016/dowod_files/timenew.js	C:/My%20Web%20Sites/Dowody/206.168.212.55_27016/dowod_files/timenew.js	(from http://206.168.212.55:27016/admin_1Dup4fHykv/dowodnowy.html)
19:56:03	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/Dowody/code.jquery.com/jquery-3.6.0.min.js	(from http://206.168.212.55:27016/admin_1Dup4fHykv/dowodnowy.html)
